occ_code,age_band,share,source_tag,job_zone,jz_imputed
11-3021,16-24,0.07894736842105263,FIXTURE,4.0,0
11-3021,25-44,0.4631578947368421,FIXTURE,4.0,0
11-3021,45-54,0.2105263157894737,FIXTURE,4.0,0
11-3021,55+,0.24736842105263157,FIXTURE,4.0,0
11-3031,16-24,0.06650071123755336,FIXTURE,4.5,0
11-3031,25-44,0.4694167852062589,FIXTURE,4.5,0
11-3031,45-54,0.21337126600284498,FIXTURE,4.5,0
11-3031,55+,0.25071123755334285,FIXTURE,4.5,0
11-3051,16-24,0.09736842105263158,FIXTURE,3.6,0
11-3051,25-44,0.4538947368421053,FIXTURE,3.6,0
11-3051,45-54,0.20631578947368423,FIXTURE,3.6,0
11-3051,55+,0.24242105263157893,FIXTURE,3.6,0
11-3061,16-24,0.07894736842105263,FIXTURE,4.0,0
11-3061,25-44,0.4631578947368421,FIXTURE,4.0,0
11-3061,45-54,0.2105263157894737,FIXTURE,4.0,0
11-3061,55+,0.24736842105263157,FIXTURE,4.0,0
11-3071,16-24,0.07894736842105263,FIXTURE,4.0,0
11-3071,25-44,0.4631578947368421,FIXTURE,4.0,0
11-3071,45-54,0.2105263157894737,FIXTURE,4.0,0
11-3071,55+,0.24736842105263157,FIXTURE,4.0,0
11-3111,16-24,0.07894736842105263,FIXTURE,4.0,0
11-3111,25-44,0.4631578947368421,FIXTURE,4.0,0
11-3111,45-54,0.2105263157894737,FIXTURE,4.0,0
11-3111,55+,0.24736842105263157,FIXTURE,4.0,0
11-3121,16-24,0.07894736842105263,FIXTURE,4.0,0
11-3121,25-44,0.4631578947368421,FIXTURE,4.0,0
11-3121,45-54,0.2105263157894737,FIXTURE,4.0,0
11-3121,55+,0.24736842105263157,FIXTURE,4.0,0
11-3131,16-24,0.07894736842105263,FIXTURE,4.0,0
11-3131,25-44,0.4631578947368421,FIXTURE,4.0,0
11-3131,45-54,0.2105263157894737,FIXTURE,4.0,0
11-3131,55+,0.24736842105263157,FIXTURE,4.0,0
11-9013,16-24,0.07894736842105263,FIXTURE,4.0,0
11-9013,25-44,0.4631578947368421,FIXTURE,4.0,0
11-9013,45-54,0.2105263157894737,FIXTURE,4.0,0
11-9013,55+,0.24736842105263157,FIXTURE,4.0,0
11-9021,16-24,0.07894736842105263,FIXTURE,4.0,0
11-9021,25-44,0.4631578947368421,FIXTURE,4.0,0
11-9021,45-54,0.2105263157894737,FIXTURE,4.0,0
11-9021,55+,0.24736842105263157,FIXTURE,4.0,0
11-9031,16-24,0.07894736842105263,FIXTURE,4.0,0
11-9031,25-44,0.4631578947368421,FIXTURE,4.0,0
11-9031,45-54,0.2105263157894737,FIXTURE,4.0,0
11-9031,55+,0.24736842105263157,FIXTURE,4.0,0
11-9032,16-24,0.054054054054054064,FIXTURE,5.0,0
11-9032,25-44,0.4756756756756757,FIXTURE,5.0,0
11-9032,45-54,0.21621621621621626,FIXTURE,5.0,0
11-9032,55+,0.25405405405405407,FIXTURE,5.0,0
11-9033,16-24,0.054054054054054064,FIXTURE,5.0,0
11-9033,25-44,0.4756756756756757,FIXTURE,5.0,0
11-9033,45-54,0.21621621621621626,FIXTURE,5.0,0
11-9033,55+,0.25405405405405407,FIXTURE,5.0,0
11-9039,16-24,0.07821192300703736,FIXTURE,4.096616681851143,1
11-9039,25-44,0.4635277187164612,FIXTURE,4.096616681851143,1
11-9039,45-54,0.21069441759839147,FIXTURE,4.096616681851143,1
11-9039,55+,0.24756594067810997,FIXTURE,4.096616681851143,1
11-9041,16-24,0.054054054054054064,FIXTURE,5.0,0
11-9041,25-44,0.4756756756756757,FIXTURE,5.0,0
11-9041,45-54,0.21621621621621626,FIXTURE,5.0,0
11-9041,55+,0.25405405405405407,FIXTURE,5.0,0
11-9051,16-24,0.15662650602409642,FIXTURE,2.0,0
11-9051,25-44,0.4240963855421687,FIXTURE,2.0,0
11-9051,45-54,0.1927710843373494,FIXTURE,2.0,0
11-9051,55+,0.22650602409638554,FIXTURE,2.0,0
11-9071,16-24,0.12500000000000003,FIXTURE,3.0,0
11-9071,25-44,0.44000000000000006,FIXTURE,3.0,0
11-9071,45-54,0.20000000000000004,FIXTURE,3.0,0
11-9071,55+,0.23500000000000001,FIXTURE,3.0,0
11-9072,16-24,0.07821192300703736,FIXTURE,4.096616681851143,1
11-9072,25-44,0.4635277187164612,FIXTURE,4.096616681851143,1
11-9072,45-54,0.21069441759839147,FIXTURE,4.096616681851143,1
11-9072,55+,0.24756594067810997,FIXTURE,4.096616681851143,1
11-9081,16-24,0.07894736842105263,FIXTURE,4.0,0
11-9081,25-44,0.4631578947368421,FIXTURE,4.0,0
11-9081,45-54,0.2105263157894737,FIXTURE,4.0,0
11-9081,55+,0.24736842105263157,FIXTURE,4.0,0
11-9111,16-24,0.054054054054054064,FIXTURE,5.0,0
11-9111,25-44,0.4756756756756757,FIXTURE,5.0,0
11-9111,45-54,0.21621621621621626,FIXTURE,5.0,0
11-9111,55+,0.25405405405405407,FIXTURE,5.0,0
11-9121,16-24,0.054054054054054064,FIXTURE,5.0,0
11-9121,25-44,0.4756756756756757,FIXTURE,5.0,0
11-9121,45-54,0.21621621621621626,FIXTURE,5.0,0
11-9121,55+,0.25405405405405407,FIXTURE,5.0,0
11-9131,16-24,0.15662650602409642,FIXTURE,2.0,0
11-9131,25-44,0.4240963855421687,FIXTURE,2.0,0
11-9131,45-54,0.1927710843373494,FIXTURE,2.0,0
11-9131,55+,0.22650602409638554,FIXTURE,2.0,0
11-9141,16-24,0.07894736842105263,FIXTURE,4.0,0
11-9141,25-44,0.4631578947368421,FIXTURE,4.0,0
11-9141,45-54,0.2105263157894737,FIXTURE,4.0,0
11-9141,55+,0.24736842105263157,FIXTURE,4.0,0
11-9151,16-24,0.07894736842105263,FIXTURE,4.0,0
11-9151,25-44,0.4631578947368421,FIXTURE,4.0,0
11-9151,45-54,0.2105263157894737,FIXTURE,4.0,0
11-9151,55+,0.24736842105263157,FIXTURE,4.0,0
11-9161,16-24,0.07894736842105263,FIXTURE,4.0,0
11-9161,25-44,0.4631578947368421,FIXTURE,4.0,0
11-9161,45-54,0.2105263157894737,FIXTURE,4.0,0
11-9161,55+,0.24736842105263157,FIXTURE,4.0,0
11-9171,16-24,0.12500000000000003,FIXTURE,3.0,0
11-9171,25-44,0.44000000000000006,FIXTURE,3.0,0
11-9171,45-54,0.20000000000000004,FIXTURE,3.0,0
11-9171,55+,0.23500000000000001,FIXTURE,3.0,0
11-9179,16-24,0.12500000000000003,FIXTURE,3.0,0
11-9179,25-44,0.44000000000000006,FIXTURE,3.0,0
11-9179,45-54,0.20000000000000004,FIXTURE,3.0,0
11-9179,55+,0.23500000000000001,FIXTURE,3.0,0
11-9199,16-24,0.0881578947368421,FIXTURE,3.8000000000000003,0
11-9199,25-44,0.4585263157894737,FIXTURE,3.8000000000000003,0
11-9199,45-54,0.20842105263157898,FIXTURE,3.8000000000000003,0
11-9199,55+,0.24489473684210528,FIXTURE,3.8000000000000003,0
13-1011,16-24,0.07894736842105263,FIXTURE,4.0,0
13-1011,25-44,0.4631578947368421,FIXTURE,4.0,0
13-1011,45-54,0.2105263157894737,FIXTURE,4.0,0
13-1011,55+,0.24736842105263157,FIXTURE,4.0,0
13-1020,16-24,0.09429824561403509,FIXTURE,3.6666666666666665,0
13-1020,25-44,0.4554385964912281,FIXTURE,3.6666666666666665,0
13-1020,45-54,0.20701754385964916,FIXTURE,3.6666666666666665,0
13-1020,55+,0.24324561403508774,FIXTURE,3.6666666666666665,0
13-1031,16-24,0.07894736842105263,FIXTURE,4.0,0
13-1031,25-44,0.4631578947368421,FIXTURE,4.0,0
13-1031,45-54,0.2105263157894737,FIXTURE,4.0,0
13-1031,55+,0.24736842105263157,FIXTURE,4.0,0
13-1032,16-24,0.12500000000000003,FIXTURE,3.0,0
13-1032,25-44,0.44000000000000006,FIXTURE,3.0,0
13-1032,45-54,0.20000000000000004,FIXTURE,3.0,0
13-1032,55+,0.23500000000000001,FIXTURE,3.0,0
13-1041,16-24,0.12500000000000003,FIXTURE,3.0,0
13-1041,25-44,0.44000000000000006,FIXTURE,3.0,0
13-1041,45-54,0.20000000000000004,FIXTURE,3.0,0
13-1041,55+,0.23500000000000001,FIXTURE,3.0,0
13-1051,16-24,0.07894736842105263,FIXTURE,4.0,0
13-1051,25-44,0.4631578947368421,FIXTURE,4.0,0
13-1051,45-54,0.2105263157894737,FIXTURE,4.0,0
13-1051,55+,0.24736842105263157,FIXTURE,4.0,0
13-1071,16-24,0.07894736842105263,FIXTURE,4.0,0
13-1071,25-44,0.4631578947368421,FIXTURE,4.0,0
13-1071,45-54,0.2105263157894737,FIXTURE,4.0,0
13-1071,55+,0.24736842105263157,FIXTURE,4.0,0
13-1074,16-24,0.15662650602409642,FIXTURE,2.0,0
13-1074,25-44,0.4240963855421687,FIXTURE,2.0,0
13-1074,45-54,0.1927710843373494,FIXTURE,2.0,0
13-1074,55+,0.22650602409638554,FIXTURE,2.0,0
13-1075,16-24,0.07894736842105263,FIXTURE,4.0,0
13-1075,25-44,0.4631578947368421,FIXTURE,4.0,0
13-1075,45-54,0.2105263157894737,FIXTURE,4.0,0
13-1075,55+,0.24736842105263157,FIXTURE,4.0,0
13-1081,16-24,0.07894736842105263,FIXTURE,4.0,0
13-1081,25-44,0.4631578947368421,FIXTURE,4.0,0
13-1081,45-54,0.2105263157894737,FIXTURE,4.0,0
13-1081,55+,0.24736842105263157,FIXTURE,4.0,0
13-1082,16-24,0.10484041428873388,FIXTURE,3.333333333333333,0
13-1082,25-44,0.45013739167195094,FIXTURE,3.333333333333333,0
13-1082,45-54,0.20460790530543224,FIXTURE,3.333333333333333,0
13-1082,55+,0.24041428873388287,FIXTURE,3.333333333333333,0
13-1111,16-24,0.054054054054054064,FIXTURE,5.0,0
13-1111,25-44,0.4756756756756757,FIXTURE,5.0,0
13-1111,45-54,0.21621621621621626,FIXTURE,5.0,0
13-1111,55+,0.25405405405405407,FIXTURE,5.0,0
13-1121,16-24,0.07894736842105263,FIXTURE,4.0,0
13-1121,25-44,0.4631578947368421,FIXTURE,4.0,0
13-1121,45-54,0.2105263157894737,FIXTURE,4.0,0
13-1121,55+,0.24736842105263157,FIXTURE,4.0,0
13-1131,16-24,0.07894736842105263,FIXTURE,4.0,0
13-1131,25-44,0.4631578947368421,FIXTURE,4.0,0
13-1131,45-54,0.2105263157894737,FIXTURE,4.0,0
13-1131,55+,0.24736842105263157,FIXTURE,4.0,0
13-1141,16-24,0.07894736842105263,FIXTURE,4.0,0
13-1141,25-44,0.4631578947368421,FIXTURE,4.0,0
13-1141,45-54,0.2105263157894737,FIXTURE,4.0,0
13-1141,55+,0.24736842105263157,FIXTURE,4.0,0
13-1151,16-24,0.07894736842105263,FIXTURE,4.0,0
13-1151,25-44,0.4631578947368421,FIXTURE,4.0,0
13-1151,45-54,0.2105263157894737,FIXTURE,4.0,0
13-1151,55+,0.24736842105263157,FIXTURE,4.0,0
13-1161,16-24,0.07894736842105263,FIXTURE,4.0,0
13-1161,25-44,0.4631578947368421,FIXTURE,4.0,0
13-1161,45-54,0.2105263157894737,FIXTURE,4.0,0
13-1161,55+,0.24736842105263157,FIXTURE,4.0,0
13-1199,16-24,0.08576165624270476,FIXTURE,3.9025570814742614,1
13-1199,25-44,0.45973128143223985,FIXTURE,3.9025570814742614,1
13-1199,45-54,0.20896876428738176,FIXTURE,3.9025570814742614,1
13-1199,55+,0.24553829803767355,FIXTURE,3.9025570814742614,1
13-2011,16-24,0.10197368421052631,FIXTURE,3.5,0
13-2011,25-44,0.4515789473684211,FIXTURE,3.5,0
13-2011,45-54,0.20526315789473687,FIXTURE,3.5,0
13-2011,55+,0.24118421052631578,FIXTURE,3.5,0
13-2020,16-24,0.07894736842105263,FIXTURE,4.0,0
13-2020,25-44,0.4631578947368421,FIXTURE,4.0,0
13-2020,45-54,0.2105263157894737,FIXTURE,4.0,0
13-2020,55+,0.24736842105263157,FIXTURE,4.0,0
13-2031,16-24,0.07894736842105263,FIXTURE,4.0,0
13-2031,25-44,0.4631578947368421,FIXTURE,4.0,0
13-2031,45-54,0.2105263157894737,FIXTURE,4.0,0
13-2031,55+,0.24736842105263157,FIXTURE,4.0,0
13-2041,16-24,0.07894736842105263,FIXTURE,4.0,0
13-2041,25-44,0.4631578947368421,FIXTURE,4.0,0
13-2041,45-54,0.2105263157894737,FIXTURE,4.0,0
13-2041,55+,0.24736842105263157,FIXTURE,4.0,0
13-2051,16-24,0.054054054054054064,FIXTURE,5.0,0
13-2051,25-44,0.4756756756756757,FIXTURE,5.0,0
13-2051,45-54,0.21621621621621626,FIXTURE,5.0,0
13-2051,55+,0.25405405405405407,FIXTURE,5.0,0
13-2052,16-24,0.07894736842105263,FIXTURE,4.0,0
13-2052,25-44,0.4631578947368421,FIXTURE,4.0,0
13-2052,45-54,0.2105263157894737,FIXTURE,4.0,0
13-2052,55+,0.24736842105263157,FIXTURE,4.0,0
13-2053,16-24,0.07894736842105263,FIXTURE,4.0,0
13-2053,25-44,0.4631578947368421,FIXTURE,4.0,0
13-2053,45-54,0.2105263157894737,FIXTURE,4.0,0
13-2053,55+,0.24736842105263157,FIXTURE,4.0,0
13-2054,16-24,0.08576165624270476,FIXTURE,3.9025570814742614,1
13-2054,25-44,0.45973128143223985,FIXTURE,3.9025570814742614,1
13-2054,45-54,0.20896876428738176,FIXTURE,3.9025570814742614,1
13-2054,55+,0.24553829803767355,FIXTURE,3.9025570814742614,1
13-2061,16-24,0.07894736842105263,FIXTURE,4.0,0
13-2061,25-44,0.4631578947368421,FIXTURE,4.0,0
13-2061,45-54,0.2105263157894737,FIXTURE,4.0,0
13-2061,55+,0.24736842105263157,FIXTURE,4.0,0
13-2071,16-24,0.07894736842105263,FIXTURE,4.0,0
13-2071,25-44,0.4631578947368421,FIXTURE,4.0,0
13-2071,45-54,0.2105263157894737,FIXTURE,4.0,0
13-2071,55+,0.24736842105263157,FIXTURE,4.0,0
13-2072,16-24,0.07894736842105263,FIXTURE,4.0,0
13-2072,25-44,0.4631578947368421,FIXTURE,4.0,0
13-2072,45-54,0.2105263157894737,FIXTURE,4.0,0
13-2072,55+,0.24736842105263157,FIXTURE,4.0,0
13-2081,16-24,0.12500000000000003,FIXTURE,3.0,0
13-2081,25-44,0.44000000000000006,FIXTURE,3.0,0
13-2081,45-54,0.20000000000000004,FIXTURE,3.0,0
13-2081,55+,0.23500000000000001,FIXTURE,3.0,0
13-2082,16-24,0.12500000000000003,FIXTURE,3.0,0
13-2082,25-44,0.44000000000000006,FIXTURE,3.0,0
13-2082,45-54,0.20000000000000004,FIXTURE,3.0,0
13-2082,55+,0.23500000000000001,FIXTURE,3.0,0
13-2099,16-24,0.08576165624270476,FIXTURE,3.9025570814742614,1
13-2099,25-44,0.45973128143223985,FIXTURE,3.9025570814742614,1
13-2099,45-54,0.20896876428738176,FIXTURE,3.9025570814742614,1
13-2099,55+,0.24553829803767355,FIXTURE,3.9025570814742614,1
15-1211,16-24,0.07894736842105263,FIXTURE,4.0,0
15-1211,25-44,0.4631578947368421,FIXTURE,4.0,0
15-1211,45-54,0.2105263157894737,FIXTURE,4.0,0
15-1211,55+,0.24736842105263157,FIXTURE,4.0,0
15-1212,16-24,0.07894736842105263,FIXTURE,4.0,0
15-1212,25-44,0.4631578947368421,FIXTURE,4.0,0
15-1212,45-54,0.2105263157894737,FIXTURE,4.0,0
15-1212,55+,0.24736842105263157,FIXTURE,4.0,0
15-1221,16-24,0.06650071123755336,FIXTURE,4.5,0
15-1221,25-44,0.4694167852062589,FIXTURE,4.5,0
15-1221,45-54,0.21337126600284498,FIXTURE,4.5,0
15-1221,55+,0.25071123755334285,FIXTURE,4.5,0
15-1231,16-24,0.07894736842105263,FIXTURE,4.0,0
15-1231,25-44,0.4631578947368421,FIXTURE,4.0,0
15-1231,45-54,0.2105263157894737,FIXTURE,4.0,0
15-1231,55+,0.24736842105263157,FIXTURE,4.0,0
15-1232,16-24,0.12500000000000003,FIXTURE,3.0,0
15-1232,25-44,0.44000000000000006,FIXTURE,3.0,0
15-1232,45-54,0.20000000000000004,FIXTURE,3.0,0
15-1232,55+,0.23500000000000001,FIXTURE,3.0,0
15-1241,16-24,0.07894736842105263,FIXTURE,4.0,0
15-1241,25-44,0.4631578947368421,FIXTURE,4.0,0
15-1241,45-54,0.2105263157894737,FIXTURE,4.0,0
15-1241,55+,0.24736842105263157,FIXTURE,4.0,0
15-1242,16-24,0.07894736842105263,FIXTURE,4.0,0
15-1242,25-44,0.4631578947368421,FIXTURE,4.0,0
15-1242,45-54,0.2105263157894737,FIXTURE,4.0,0
15-1242,55+,0.24736842105263157,FIXTURE,4.0,0
15-1243,16-24,0.07894736842105263,FIXTURE,4.0,0
15-1243,25-44,0.4631578947368421,FIXTURE,4.0,0
15-1243,45-54,0.2105263157894737,FIXTURE,4.0,0
15-1243,55+,0.24736842105263157,FIXTURE,4.0,0
15-1244,16-24,0.07894736842105263,FIXTURE,4.0,0
15-1244,25-44,0.4631578947368421,FIXTURE,4.0,0
15-1244,45-54,0.2105263157894737,FIXTURE,4.0,0
15-1244,55+,0.24736842105263157,FIXTURE,4.0,0
15-1251,16-24,0.07894736842105263,FIXTURE,4.0,0
15-1251,25-44,0.4631578947368421,FIXTURE,4.0,0
15-1251,45-54,0.2105263157894737,FIXTURE,4.0,0
15-1251,55+,0.24736842105263157,FIXTURE,4.0,0
15-1252,16-24,0.09066996840553183,FIXTURE,3.7718079184150115,1
15-1252,25-44,0.45726310160178973,FIXTURE,3.7718079184150115,1
15-1252,45-54,0.20784686436444988,FIXTURE,3.7718079184150115,1
15-1252,55+,0.24422006562822857,FIXTURE,3.7718079184150115,1
15-1253,16-24,0.07894736842105263,FIXTURE,4.0,0
15-1253,25-44,0.4631578947368421,FIXTURE,4.0,0
15-1253,45-54,0.2105263157894737,FIXTURE,4.0,0
15-1253,55+,0.24736842105263157,FIXTURE,4.0,0
15-1254,16-24,0.12500000000000003,FIXTURE,3.0,0
15-1254,25-44,0.44000000000000006,FIXTURE,3.0,0
15-1254,45-54,0.20000000000000004,FIXTURE,3.0,0
15-1254,55+,0.23500000000000001,FIXTURE,3.0,0
15-1255,16-24,0.09066996840553183,FIXTURE,3.7718079184150115,1
15-1255,25-44,0.45726310160178973,FIXTURE,3.7718079184150115,1
15-1255,45-54,0.20784686436444988,FIXTURE,3.7718079184150115,1
15-1255,55+,0.24422006562822857,FIXTURE,3.7718079184150115,1
15-1299,16-24,0.09066996840553183,FIXTURE,3.7718079184150115,1
15-1299,25-44,0.45726310160178973,FIXTURE,3.7718079184150115,1
15-1299,45-54,0.20784686436444988,FIXTURE,3.7718079184150115,1
15-1299,55+,0.24422006562822857,FIXTURE,3.7718079184150115,1
15-2011,16-24,0.07894736842105263,FIXTURE,4.0,0
15-2011,25-44,0.4631578947368421,FIXTURE,4.0,0
15-2011,45-54,0.2105263157894737,FIXTURE,4.0,0
15-2011,55+,0.24736842105263157,FIXTURE,4.0,0
15-2021,16-24,0.054054054054054064,FIXTURE,5.0,0
15-2021,25-44,0.4756756756756757,FIXTURE,5.0,0
15-2021,45-54,0.21621621621621626,FIXTURE,5.0,0
15-2021,55+,0.25405405405405407,FIXTURE,5.0,0
15-2031,16-24,0.054054054054054064,FIXTURE,5.0,0
15-2031,25-44,0.4756756756756757,FIXTURE,5.0,0
15-2031,45-54,0.21621621621621626,FIXTURE,5.0,0
15-2031,55+,0.25405405405405407,FIXTURE,5.0,0
15-2041,16-24,0.054054054054054064,FIXTURE,5.0,0
15-2041,25-44,0.4756756756756757,FIXTURE,5.0,0
15-2041,45-54,0.21621621621621626,FIXTURE,5.0,0
15-2041,55+,0.25405405405405407,FIXTURE,5.0,0
15-2051,16-24,0.09066996840553183,FIXTURE,3.7718079184150115,1
15-2051,25-44,0.45726310160178973,FIXTURE,3.7718079184150115,1
15-2051,45-54,0.20784686436444988,FIXTURE,3.7718079184150115,1
15-2051,55+,0.24422006562822857,FIXTURE,3.7718079184150115,1
15-2099,16-24,0.09066996840553183,FIXTURE,3.7718079184150115,1
15-2099,25-44,0.45726310160178973,FIXTURE,3.7718079184150115,1
15-2099,45-54,0.20784686436444988,FIXTURE,3.7718079184150115,1
15-2099,55+,0.24422006562822857,FIXTURE,3.7718079184150115,1
17-1011,16-24,0.054054054054054064,FIXTURE,5.0,0
17-1011,25-44,0.4756756756756757,FIXTURE,5.0,0
17-1011,45-54,0.21621621621621626,FIXTURE,5.0,0
17-1011,55+,0.25405405405405407,FIXTURE,5.0,0
17-1012,16-24,0.07894736842105263,FIXTURE,4.0,0
17-1012,25-44,0.4631578947368421,FIXTURE,4.0,0
17-1012,45-54,0.2105263157894737,FIXTURE,4.0,0
17-1012,55+,0.24736842105263157,FIXTURE,4.0,0
17-1021,16-24,0.07894736842105263,FIXTURE,4.0,0
17-1021,25-44,0.4631578947368421,FIXTURE,4.0,0
17-1021,45-54,0.2105263157894737,FIXTURE,4.0,0
17-1021,55+,0.24736842105263157,FIXTURE,4.0,0
17-1022,16-24,0.07894736842105263,FIXTURE,4.0,0
17-1022,25-44,0.4631578947368421,FIXTURE,4.0,0
17-1022,45-54,0.2105263157894737,FIXTURE,4.0,0
17-1022,55+,0.24736842105263157,FIXTURE,4.0,0
17-2011,16-24,0.07894736842105263,FIXTURE,4.0,0
17-2011,25-44,0.4631578947368421,FIXTURE,4.0,0
17-2011,45-54,0.2105263157894737,FIXTURE,4.0,0
17-2011,55+,0.24736842105263157,FIXTURE,4.0,0
17-2021,16-24,0.07894736842105263,FIXTURE,4.0,0
17-2021,25-44,0.4631578947368421,FIXTURE,4.0,0
17-2021,45-54,0.2105263157894737,FIXTURE,4.0,0
17-2021,55+,0.24736842105263157,FIXTURE,4.0,0
17-2031,16-24,0.07894736842105263,FIXTURE,4.0,0
17-2031,25-44,0.4631578947368421,FIXTURE,4.0,0
17-2031,45-54,0.2105263157894737,FIXTURE,4.0,0
17-2031,55+,0.24736842105263157,FIXTURE,4.0,0
17-2041,16-24,0.07894736842105263,FIXTURE,4.0,0
17-2041,25-44,0.4631578947368421,FIXTURE,4.0,0
17-2041,45-54,0.2105263157894737,FIXTURE,4.0,0
17-2041,55+,0.24736842105263157,FIXTURE,4.0,0
17-2051,16-24,0.07894736842105263,FIXTURE,4.0,0
17-2051,25-44,0.4631578947368421,FIXTURE,4.0,0
17-2051,45-54,0.2105263157894737,FIXTURE,4.0,0
17-2051,55+,0.24736842105263157,FIXTURE,4.0,0
17-2061,16-24,0.07894736842105263,FIXTURE,4.0,0
17-2061,25-44,0.4631578947368421,FIXTURE,4.0,0
17-2061,45-54,0.2105263157894737,FIXTURE,4.0,0
17-2061,55+,0.24736842105263157,FIXTURE,4.0,0
17-2071,16-24,0.07894736842105263,FIXTURE,4.0,0
17-2071,25-44,0.4631578947368421,FIXTURE,4.0,0
17-2071,45-54,0.2105263157894737,FIXTURE,4.0,0
17-2071,55+,0.24736842105263157,FIXTURE,4.0,0
17-2072,16-24,0.07894736842105263,FIXTURE,4.0,0
17-2072,25-44,0.4631578947368421,FIXTURE,4.0,0
17-2072,45-54,0.2105263157894737,FIXTURE,4.0,0
17-2072,55+,0.24736842105263157,FIXTURE,4.0,0
17-2081,16-24,0.07894736842105263,FIXTURE,4.0,0
17-2081,25-44,0.4631578947368421,FIXTURE,4.0,0
17-2081,45-54,0.2105263157894737,FIXTURE,4.0,0
17-2081,55+,0.24736842105263157,FIXTURE,4.0,0
17-2111,16-24,0.07894736842105263,FIXTURE,4.0,0
17-2111,25-44,0.4631578947368421,FIXTURE,4.0,0
17-2111,45-54,0.2105263157894737,FIXTURE,4.0,0
17-2111,55+,0.24736842105263157,FIXTURE,4.0,0
17-2112,16-24,0.07894736842105263,FIXTURE,4.0,0
17-2112,25-44,0.4631578947368421,FIXTURE,4.0,0
17-2112,45-54,0.2105263157894737,FIXTURE,4.0,0
17-2112,55+,0.24736842105263157,FIXTURE,4.0,0
17-2121,16-24,0.07894736842105263,FIXTURE,4.0,0
17-2121,25-44,0.4631578947368421,FIXTURE,4.0,0
17-2121,45-54,0.2105263157894737,FIXTURE,4.0,0
17-2121,55+,0.24736842105263157,FIXTURE,4.0,0
17-2131,16-24,0.07894736842105263,FIXTURE,4.0,0
17-2131,25-44,0.4631578947368421,FIXTURE,4.0,0
17-2131,45-54,0.2105263157894737,FIXTURE,4.0,0
17-2131,55+,0.24736842105263157,FIXTURE,4.0,0
17-2141,16-24,0.07894736842105263,FIXTURE,4.0,0
17-2141,25-44,0.4631578947368421,FIXTURE,4.0,0
17-2141,45-54,0.2105263157894737,FIXTURE,4.0,0
17-2141,55+,0.24736842105263157,FIXTURE,4.0,0
17-2151,16-24,0.07894736842105263,FIXTURE,4.0,0
17-2151,25-44,0.4631578947368421,FIXTURE,4.0,0
17-2151,45-54,0.2105263157894737,FIXTURE,4.0,0
17-2151,55+,0.24736842105263157,FIXTURE,4.0,0
17-2161,16-24,0.07894736842105263,FIXTURE,4.0,0
17-2161,25-44,0.4631578947368421,FIXTURE,4.0,0
17-2161,45-54,0.2105263157894737,FIXTURE,4.0,0
