occ_code,region_id,emp,wage_mean_annual_usd,source_tag
13-1011,CN,30817,29102.5,FIXTURE:us_mix_gdp_pc_tilt
13-1020,CN,1084092,18135.0,FIXTURE:us_mix_gdp_pc_tilt
13-1031,CN,686824,17740.0,FIXTURE:us_mix_gdp_pc_tilt
13-1032,CN,28225,17045.0,FIXTURE:us_mix_gdp_pc_tilt
13-1041,CN,825601,18952.5,FIXTURE:us_mix_gdp_pc_tilt
13-1051,CN,515970,18435.0,FIXTURE:us_mix_gdp_pc_tilt
13-1071,CN,1829366,17680.0,FIXTURE:us_mix_gdp_pc_tilt
13-1074,CN,1087,13600.0,FIXTURE:us_mix_gdp_pc_tilt
13-1075,CN,157569,19267.5,FIXTURE:us_mix_gdp_pc_tilt
13-1081,CN,467497,19807.5,FIXTURE:us_mix_gdp_pc_tilt
13-1082,CN,1836848,24605.0,FIXTURE:us_mix_gdp_pc_tilt
13-1111,CN,1897569,25132.5,FIXTURE:us_mix_gdp_pc_tilt
13-1121,CN,242366,14462.5,FIXTURE:us_mix_gdp_pc_tilt
13-1131,CN,202684,16217.5,FIXTURE:us_mix_gdp_pc_tilt
13-1141,CN,216685,18452.5,FIXTURE:us_mix_gdp_pc_tilt
13-1151,CN,829774,16905.0,FIXTURE:us_mix_gdp_pc_tilt
13-1161,CN,1796548,19020.0,FIXTURE:us_mix_gdp_pc_tilt
13-1199,CN,2544242,19810.0,FIXTURE:us_mix_gdp_pc_tilt
13-2011,CN,3255957,20995.0,FIXTURE:us_mix_gdp_pc_tilt
13-2020,CN,144062,17512.5,FIXTURE:us_mix_gdp_pc_tilt
13-2031,CN,117146,21060.0,FIXTURE:us_mix_gdp_pc_tilt
13-2041,CN,169817,22007.5,FIXTURE:us_mix_gdp_pc_tilt
13-2051,CN,720753,25755.0,FIXTURE:us_mix_gdp_pc_tilt
13-2052,CN,649512,29990.0,FIXTURE:us_mix_gdp_pc_tilt
13-2053,CN,265924,19985.0,FIXTURE:us_mix_gdp_pc_tilt
13-2054,CN,134135,27652.5,FIXTURE:us_mix_gdp_pc_tilt
13-2061,CN,150013,24045.0,FIXTURE:us_mix_gdp_pc_tilt
13-2071,CN,77118,12607.5,FIXTURE:us_mix_gdp_pc_tilt
13-2072,CN,839998,20142.5,FIXTURE:us_mix_gdp_pc_tilt
13-2081,CN,129073,15800.0,FIXTURE:us_mix_gdp_pc_tilt
13-2082,CN,205425,12770.0,FIXTURE:us_mix_gdp_pc_tilt
13-2099,CN,304223,20092.5,FIXTURE:us_mix_gdp_pc_tilt
15-1211,CN,1247390,25552.5,FIXTURE:us_mix_gdp_pc_tilt
15-1212,CN,388231,28317.5,FIXTURE:us_mix_gdp_pc_tilt
15-1221,CN,76155,35662.5,FIXTURE:us_mix_gdp_pc_tilt
15-1231,CN,435099,17837.5,FIXTURE:us_mix_gdp_pc_tilt
15-1232,CN,1615718,14412.5,FIXTURE:us_mix_gdp_pc_tilt
15-1241,CN,416900,30162.5,FIXTURE:us_mix_gdp_pc_tilt
15-1242,CN,212043,24137.5,FIXTURE:us_mix_gdp_pc_tilt
15-1243,CN,124554,30460.0,FIXTURE:us_mix_gdp_pc_tilt
15-1244,CN,782190,22812.5,FIXTURE:us_mix_gdp_pc_tilt
15-1251,CN,376847,24162.5,FIXTURE:us_mix_gdp_pc_tilt
15-1252,CN,3368633,30247.5,FIXTURE:us_mix_gdp_pc_tilt
15-1253,CN,469472,24427.5,FIXTURE:us_mix_gdp_pc_tilt
15-1254,CN,209450,20330.0,FIXTURE:us_mix_gdp_pc_tilt
15-1255,CN,203425,23865.0,FIXTURE:us_mix_gdp_pc_tilt
15-1299,CN,914127,24545.0,FIXTURE:us_mix_gdp_pc_tilt
15-2011,CN,56894,31325.0,FIXTURE:us_mix_gdp_pc_tilt
15-2021,CN,4371,28107.5,FIXTURE:us_mix_gdp_pc_tilt
15-2031,CN,243724,23957.5,FIXTURE:us_mix_gdp_pc_tilt
15-2041,CN,77463,24862.5,FIXTURE:us_mix_gdp_pc_tilt
15-2051,CN,261701,27165.0,FIXTURE:us_mix_gdp_pc_tilt
15-2099,CN,9803,19490.0,FIXTURE:us_mix_gdp_pc_tilt
17-1011,CN,247922,22975.0,FIXTURE:us_mix_gdp_pc_tilt
17-1012,CN,43041,18745.0,FIXTURE:us_mix_gdp_pc_tilt
17-1021,CN,31138,18377.5,FIXTURE:us_mix_gdp_pc_tilt
17-1022,CN,114553,17220.0,FIXTURE:us_mix_gdp_pc_tilt
17-2011,CN,139864,30742.5,FIXTURE:us_mix_gdp_pc_tilt
17-2021,CN,2766,21837.5,FIXTURE:us_mix_gdp_pc_tilt
17-2031,CN,42448,25255.0,FIXTURE:us_mix_gdp_pc_tilt
17-2041,CN,59709,30460.0,FIXTURE:us_mix_gdp_pc_tilt
17-2051,CN,751447,23872.5,FIXTURE:us_mix_gdp_pc_tilt
17-2061,CN,182114,34057.5,FIXTURE:us_mix_gdp_pc_tilt
17-2071,CN,459348,26972.5,FIXTURE:us_mix_gdp_pc_tilt
17-2072,CN,264640,28872.5,FIXTURE:us_mix_gdp_pc_tilt
17-2081,CN,105342,25055.0,FIXTURE:us_mix_gdp_pc_tilt
17-2111,CN,56474,24925.0,FIXTURE:us_mix_gdp_pc_tilt
17-2112,CN,725864,23800.0,FIXTURE:us_mix_gdp_pc_tilt
17-2121,CN,18224,24455.0,FIXTURE:us_mix_gdp_pc_tilt
17-2131,CN,53165,25487.5,FIXTURE:us_mix_gdp_pc_tilt
17-2141,CN,687071,24250.0,FIXTURE:us_mix_gdp_pc_tilt
17-2151,CN,18199,25112.5,FIXTURE:us_mix_gdp_pc_tilt
17-2161,CN,31287,30440.0,FIXTURE:us_mix_gdp_pc_tilt
17-2171,CN,54573,36430.0,FIXTURE:us_mix_gdp_pc_tilt
17-2199,CN,375192,26950.0,FIXTURE:us_mix_gdp_pc_tilt
17-3011,CN,250169,15155.0,FIXTURE:us_mix_gdp_pc_tilt
17-3012,CN,51436,16772.5,FIXTURE:us_mix_gdp_pc_tilt
17-3013,CN,117936,15662.5,FIXTURE:us_mix_gdp_pc_tilt
17-3019,CN,37781,14582.5,FIXTURE:us_mix_gdp_pc_tilt
17-3021,CN,26916,18377.5,FIXTURE:us_mix_gdp_pc_tilt
17-3022,CN,158458,14500.0,FIXTURE:us_mix_gdp_pc_tilt
17-3023,CN,250515,17267.5,FIXTURE:us_mix_gdp_pc_tilt
17-3024,CN,28620,15970.0,FIXTURE:us_mix_gdp_pc_tilt
17-3025,CN,36818,14147.5,FIXTURE:us_mix_gdp_pc_tilt
17-3026,CN,153174,15307.5,FIXTURE:us_mix_gdp_pc_tilt
17-3027,CN,99218,15847.5,FIXTURE:us_mix_gdp_pc_tilt
17-3028,CN,20989,15700.0,FIXTURE:us_mix_gdp_pc_tilt
17-3029,CN,181744,17072.5,FIXTURE:us_mix_gdp_pc_tilt
17-3031,CN,138456,12452.5,FIXTURE:us_mix_gdp_pc_tilt
19-1011,CN,6889,20097.5,FIXTURE:us_mix_gdp_pc_tilt
19-1012,CN,33361,21037.5,FIXTURE:us_mix_gdp_pc_tilt
19-1013,CN,38547,19072.5,FIXTURE:us_mix_gdp_pc_tilt
19-1021,CN,86551,28365.0,FIXTURE:us_mix_gdp_pc_tilt
19-1022,CN,47979,21955.0,FIXTURE:us_mix_gdp_pc_tilt
19-1023,CN,39337,17575.0,FIXTURE:us_mix_gdp_pc_tilt
19-1029,CN,116183,22502.5,FIXTURE:us_mix_gdp_pc_tilt
19-1031,CN,55684,17057.5,FIXTURE:us_mix_gdp_pc_tilt
19-1032,CN,23459,16927.5,FIXTURE:us_mix_gdp_pc_tilt
19-1041,CN,20199,21685.0,FIXTURE:us_mix_gdp_pc_tilt
19-1042,CN,268048,26012.5,FIXTURE:us_mix_gdp_pc_tilt
19-1099,CN,16841,23607.5,FIXTURE:us_mix_gdp_pc_tilt
19-2011,CN,4766,34852.5,FIXTURE:us_mix_gdp_pc_tilt
19-2012,CN,49436,37895.0,FIXTURE:us_mix_gdp_pc_tilt
19-2021,CN,21039,24220.0,FIXTURE:us_mix_gdp_pc_tilt
19-2031,CN,199029,22282.5,FIXTURE:us_mix_gdp_pc_tilt
19-2032,CN,16520,26197.5,FIXTURE:us_mix_gdp_pc_tilt
19-2041,CN,189868,20310.0,FIXTURE:us_mix_gdp_pc_tilt
19-2042,CN,58326,25887.5,FIXTURE:us_mix_gdp_pc_tilt
19-2043,CN,15779,23695.0,FIXTURE:us_mix_gdp_pc_tilt
19-2099,CN,48597,28305.0,FIXTURE:us_mix_gdp_pc_tilt
19-3011,CN,38621,30207.5,FIXTURE:us_mix_gdp_pc_tilt
19-3022,CN,21854,16172.5,FIXTURE:us_mix_gdp_pc_tilt
19-3032,CN,1506,28330.0,FIXTURE:us_mix_gdp_pc_tilt
19-3033,CN,143469,24910.0,FIXTURE:us_mix_gdp_pc_tilt
19-3034,CN,141024,20692.5,FIXTURE:us_mix_gdp_pc_tilt
19-3039,CN,34077,24502.5,FIXTURE:us_mix_gdp_pc_tilt
19-3041,CN,6519,24065.0,FIXTURE:us_mix_gdp_pc_tilt
19-3051,CN,96156,20327.5,FIXTURE:us_mix_gdp_pc_tilt
19-3091,CN,16421,16700.0,FIXTURE:us_mix_gdp_pc_tilt
19-3092,CN,3556,21685.0,FIXTURE:us_mix_gdp_pc_tilt
19-3093,CN,7186,18032.5,FIXTURE:us_mix_gdp_pc_tilt
19-3094,CN,13952,30107.5,FIXTURE:us_mix_gdp_pc_tilt
19-3099,CN,84773,22725.0,FIXTURE:us_mix_gdp_pc_tilt
19-4012,CN,33484,11212.5,FIXTURE:us_mix_gdp_pc_tilt
19-4013,CN,28472,11967.5,FIXTURE:us_mix_gdp_pc_tilt
19-4021,CN,188041,12942.5,FIXTURE:us_mix_gdp_pc_tilt
19-4031,CN,142457,13760.0,FIXTURE:us_mix_gdp_pc_tilt
19-4042,CN,84229,12637.5,FIXTURE:us_mix_gdp_pc_tilt
19-4043,CN,22743,14770.0,FIXTURE:us_mix_gdp_pc_tilt
19-4044,CN,8766,17940.0,FIXTURE:us_mix_gdp_pc_tilt
19-4051,CN,13236,23800.0,FIXTURE:us_mix_gdp_pc_tilt
19-4061,CN,70846,14107.5,FIXTURE:us_mix_gdp_pc_tilt
19-4071,CN,75167,10855.0,FIXTURE:us_mix_gdp_pc_tilt
19-4092,CN,42028,16712.5,FIXTURE:us_mix_gdp_pc_tilt
19-4099,CN,153667,13855.0,FIXTURE:us_mix_gdp_pc_tilt
19-5011,CN,262590,19685.0,FIXTURE:us_mix_gdp_pc_tilt
19-5012,CN,53708,14390.0,FIXTURE:us_mix_gdp_pc_tilt
21-1012,CN,731840,15772.5,FIXTURE:us_mix_gdp_pc_tilt
21-1013,CN,135320,14915.0,FIXTURE:us_mix_gdp_pc_tilt
21-1015,CN,223007,11185.0,FIXTURE:us_mix_gdp_pc_tilt
21-1018,CN,767670,13372.5,FIXTURE:us_mix_gdp_pc_tilt
21-1019,CN,72796,12432.5,FIXTURE:us_mix_gdp_pc_tilt
21-1021,CN,839701,13720.0,FIXTURE:us_mix_gdp_pc_tilt
21-1022,CN,429321,15577.5,FIXTURE:us_mix_gdp_pc_tilt
21-1023,CN,281036,14450.0,FIXTURE:us_mix_gdp_pc_tilt
21-1029,CN,122801,15752.5,FIXTURE:us_mix_gdp_pc_tilt
21-1091,CN,137864,16232.5,FIXTURE:us_mix_gdp_pc_tilt
21-1092,CN,227526,15822.5,FIXTURE:us_mix_gdp_pc_tilt
21-1093,CN,983738,10115.0,FIXTURE:us_mix_gdp_pc_tilt
21-1094,CN,150655,11945.0,FIXTURE:us_mix_gdp_pc_tilt
21-1099,CN,224143,12627.5,FIXTURE:us_mix_gdp_pc_tilt
21-2011,CN,125418,14307.5,FIXTURE:us_mix_gdp_pc_tilt
21-2021,CN,51856,13220.0,FIXTURE:us_mix_gdp_pc_tilt
21-2099,CN,25903,10822.5,FIXTURE:us_mix_gdp_pc_tilt
23-1011,CN,1681650,37007.5,FIXTURE:us_mix_gdp_pc_tilt
23-1012,CN,36546,15682.5,FIXTURE:us_mix_gdp_pc_tilt
23-1021,CN,34176,26040.0,FIXTURE:us_mix_gdp_pc_tilt
23-1022,CN,18076,15587.5,FIXTURE:us_mix_gdp_pc_tilt
23-1023,CN,68623,35630.0,FIXTURE:us_mix_gdp_pc_tilt
23-2011,CN,830318,14582.5,FIXTURE:us_mix_gdp_pc_tilt
23-2093,CN,126035,13097.5,FIXTURE:us_mix_gdp_pc_tilt
23-2099,CN,113812,18250.0,FIXTURE:us_mix_gdp_pc_tilt
25-1011,CN,196659,26430.0,FIXTURE:us_mix_gdp_pc_tilt
25-1021,CN,92847,22402.5,FIXTURE:us_mix_gdp_pc_tilt
25-1022,CN,108997,21995.0,FIXTURE:us_mix_gdp_pc_tilt
25-1031,CN,14693,24650.0,FIXTURE:us_mix_gdp_pc_tilt
25-1032,CN,87514,28897.5,FIXTURE:us_mix_gdp_pc_tilt
25-1041,CN,21162,24380.0,FIXTURE:us_mix_gdp_pc_tilt
25-1042,CN,117763,24677.5,FIXTURE:us_mix_gdp_pc_tilt
25-1043,CN,2914,23377.5,FIXTURE:us_mix_gdp_pc_tilt
25-1051,CN,25311,25710.0,FIXTURE:us_mix_gdp_pc_tilt
25-1052,CN,50029,23515.0,FIXTURE:us_mix_gdp_pc_tilt
25-1053,CN,13433,23052.5,FIXTURE:us_mix_gdp_pc_tilt
25-1054,CN,30768,24870.0,FIXTURE:us_mix_gdp_pc_tilt
25-1061,CN,12371,25527.5,FIXTURE:us_mix_gdp_pc_tilt
25-1062,CN,22323,22920.0,FIXTURE:us_mix_gdp_pc_tilt
25-1063,CN,29114,31022.5,FIXTURE:us_mix_gdp_pc_tilt
25-1064,CN,8495,22037.5,FIXTURE:us_mix_gdp_pc_tilt
25-1065,CN,34719,24745.0,FIXTURE:us_mix_gdp_pc_tilt
25-1066,CN,89045,22097.5,FIXTURE:us_mix_gdp_pc_tilt
25-1067,CN,30990,21962.5,FIXTURE:us_mix_gdp_pc_tilt
25-1069,CN,39855,21830.0,FIXTURE:us_mix_gdp_pc_tilt
25-1071,CN,473695,33327.5,FIXTURE:us_mix_gdp_pc_tilt
25-1072,CN,168064,20510.0,FIXTURE:us_mix_gdp_pc_tilt
25-1081,CN,145148,19247.5,FIXTURE:us_mix_gdp_pc_tilt
25-1082,CN,10692,20212.5,FIXTURE:us_mix_gdp_pc_tilt
25-1111,CN,34052,20432.5,FIXTURE:us_mix_gdp_pc_tilt
25-1112,CN,34842,32705.0,FIXTURE:us_mix_gdp_pc_tilt
25-1113,CN,30324,19412.5,FIXTURE:us_mix_gdp_pc_tilt
25-1121,CN,233896,21560.0,FIXTURE:us_mix_gdp_pc_tilt
25-1122,CN,67487,21145.0,FIXTURE:us_mix_gdp_pc_tilt
25-1123,CN,144407,20670.0,FIXTURE:us_mix_gdp_pc_tilt
25-1124,CN,48498,20747.5,FIXTURE:us_mix_gdp_pc_tilt
25-1125,CN,45905,21615.0,FIXTURE:us_mix_gdp_pc_tilt
25-1126,CN,51486,22065.0,FIXTURE:us_mix_gdp_pc_tilt
25-1192,CN,6741,23307.5,FIXTURE:us_mix_gdp_pc_tilt
25-1193,CN,34225,19770.0,FIXTURE:us_mix_gdp_pc_tilt
25-1194,CN,260368,15782.5,FIXTURE:us_mix_gdp_pc_tilt
25-1199,CN,491449,23050.0,FIXTURE:us_mix_gdp_pc_tilt
25-2011,CN,967169,9115.0,FIXTURE:us_mix_gdp_pc_tilt
25-2012,CN,298124,16122.5,FIXTURE:us_mix_gdp_pc_tilt
25-2021,CN,3282453,16770.0,FIXTURE:us_mix_gdp_pc_tilt
25-2022,CN,1461853,16720.0,FIXTURE:us_mix_gdp_pc_tilt
25-2023,CN,29237,17352.5,FIXTURE:us_mix_gdp_pc_tilt
25-2031,CN,2519326,17382.5,FIXTURE:us_mix_gdp_pc_tilt
25-2032,CN,208314,17240.0,FIXTURE:us_mix_gdp_pc_tilt
25-2051,CN,52177,17992.5,FIXTURE:us_mix_gdp_pc_tilt
25-2052,CN,461941,16772.5,FIXTURE:us_mix_gdp_pc_tilt
25-2057,CN,195251,17215.0,FIXTURE:us_mix_gdp_pc_tilt
25-2058,CN,359759,17525.0,FIXTURE:us_mix_gdp_pc_tilt
25-2059,CN,93835,17832.5,FIXTURE:us_mix_gdp_pc_tilt
25-3011,CN,94477,15162.5,FIXTURE:us_mix_gdp_pc_tilt
25-3021,CN,535626,12307.5,FIXTURE:us_mix_gdp_pc_tilt
25-3031,CN,925067,9602.5,FIXTURE:us_mix_gdp_pc_tilt
25-3041,CN,363241,10445.0,FIXTURE:us_mix_gdp_pc_tilt
25-3099,CN,406578,15550.0,FIXTURE:us_mix_gdp_pc_tilt
25-4011,CN,15112,15470.0,FIXTURE:us_mix_gdp_pc_tilt
25-4012,CN,27237,15970.0,FIXTURE:us_mix_gdp_pc_tilt
25-4013,CN,27064,13007.5,FIXTURE:us_mix_gdp_pc_tilt
25-4022,CN,315558,16045.0,FIXTURE:us_mix_gdp_pc_tilt
25-4031,CN,180262,9767.5,FIXTURE:us_mix_gdp_pc_tilt
25-9021,CN,26224,14510.0,FIXTURE:us_mix_gdp_pc_tilt
25-9031,CN,456187,17640.0,FIXTURE:us_mix_gdp_pc_tilt
25-9044,CN,299507,10292.5,FIXTURE:us_mix_gdp_pc_tilt
25-9045,CN,2931781,7940.0,FIXTURE:us_mix_gdp_pc_tilt
25-9099,CN,385095,12412.5,FIXTURE:us_mix_gdp_pc_tilt
27-1011,CN,103910,28857.5,FIXTURE:us_mix_gdp_pc_tilt
27-1012,CN,9235,10182.5,FIXTURE:us_mix_gdp_pc_tilt
27-1013,CN,23286,17252.5,FIXTURE:us_mix_gdp_pc_tilt
27-1014,CN,50449,21555.0,FIXTURE:us_mix_gdp_pc_tilt
27-1019,CN,18248,16810.0,FIXTURE:us_mix_gdp_pc_tilt
27-1021,CN,68994,19920.0,FIXTURE:us_mix_gdp_pc_tilt
27-1022,CN,47683,20912.5,FIXTURE:us_mix_gdp_pc_tilt
27-1023,CN,88896,8025.0,FIXTURE:us_mix_gdp_pc_tilt
27-1024,CN,503845,14992.5,FIXTURE:us_mix_gdp_pc_tilt
27-1025,CN,153025,15642.5,FIXTURE:us_mix_gdp_pc_tilt
27-1026,CN,394577,8880.0,FIXTURE:us_mix_gdp_pc_tilt
27-1027,CN,16915,15740.0,FIXTURE:us_mix_gdp_pc_tilt
27-1029,CN,25163,18370.0,FIXTURE:us_mix_gdp_pc_tilt
27-2011,CN,74327,16525.0,FIXTURE:us_mix_gdp_pc_tilt
27-2012,CN,341387,25487.5,FIXTURE:us_mix_gdp_pc_tilt
27-2021,CN,30422,29232.5,FIXTURE:us_mix_gdp_pc_tilt
27-2022,CN,478411,12637.5,FIXTURE:us_mix_gdp_pc_tilt
27-2023,CN,23755,12927.5,FIXTURE:us_mix_gdp_pc_tilt
27-2031,CN,9507,16525.0,FIXTURE:us_mix_gdp_pc_tilt
27-2032,CN,9853,12407.5,FIXTURE:us_mix_gdp_pc_tilt
27-2041,CN,23607,16270.0,FIXTURE:us_mix_gdp_pc_tilt
27-2042,CN,59462,16525.0,FIXTURE:us_mix_gdp_pc_tilt
27-2091,CN,11779,16525.0,FIXTURE:us_mix_gdp_pc_tilt
27-2099,CN,20496,16525.0,FIXTURE:us_mix_gdp_pc_tilt
27-3011,CN,60697,14027.5,FIXTURE:us_mix_gdp_pc_tilt
27-3023,CN,96502,15807.5,FIXTURE:us_mix_gdp_pc_tilt
27-3031,CN,599335,18312.5,FIXTURE:us_mix_gdp_pc_tilt
27-3041,CN,219229,19100.0,FIXTURE:us_mix_gdp_pc_tilt
27-3042,CN,117590,20367.5,FIXTURE:us_mix_gdp_pc_tilt
27-3043,CN,122010,20280.0,FIXTURE:us_mix_gdp_pc_tilt
27-3091,CN,128826,14600.0,FIXTURE:us_mix_gdp_pc_tilt
27-3092,CN,30373,16310.0,FIXTURE:us_mix_gdp_pc_tilt
27-3099,CN,40843,14850.0,FIXTURE:us_mix_gdp_pc_tilt
27-4011,CN,124924,13827.5,FIXTURE:us_mix_gdp_pc_tilt
27-4012,CN,62400,12820.0,FIXTURE:us_mix_gdp_pc_tilt
27-4014,CN,26669,16840.0,FIXTURE:us_mix_gdp_pc_tilt
27-4015,CN,10569,14505.0,FIXTURE:us_mix_gdp_pc_tilt
27-4021,CN,94872,12052.5,FIXTURE:us_mix_gdp_pc_tilt
27-4031,CN,50078,15435.0,FIXTURE:us_mix_gdp_pc_tilt
27-4032,CN,69216,19000.0,FIXTURE:us_mix_gdp_pc_tilt
27-4099,CN,41164,17322.5,FIXTURE:us_mix_gdp_pc_tilt
29-1011,CN,88427,20310.0,FIXTURE:us_mix_gdp_pc_tilt
29-1021,CN,268369,41790.0,FIXTURE:us_mix_gdp_pc_tilt
29-1022,CN,13162,77865.0,FIXTURE:us_mix_gdp_pc_tilt
29-1023,CN,12692,66820.0,FIXTURE:us_mix_gdp_pc_tilt
29-1024,CN,1951,35932.5,FIXTURE:us_mix_gdp_pc_tilt
29-1029,CN,11729,44850.0,FIXTURE:us_mix_gdp_pc_tilt
29-1031,CN,164681,16405.0,FIXTURE:us_mix_gdp_pc_tilt
29-1041,CN,95613,31360.0,FIXTURE:us_mix_gdp_pc_tilt
29-1051,CN,771794,31422.5,FIXTURE:us_mix_gdp_pc_tilt
29-1071,CN,328275,29865.0,FIXTURE:us_mix_gdp_pc_tilt
29-1081,CN,21829,39595.0,FIXTURE:us_mix_gdp_pc_tilt
29-1122,CN,315657,22367.5,FIXTURE:us_mix_gdp_pc_tilt
29-1123,CN,556467,23230.0,FIXTURE:us_mix_gdp_pc_tilt
29-1124,CN,39633,23500.0,FIXTURE:us_mix_gdp_pc_tilt
29-1125,CN,41930,13475.0,FIXTURE:us_mix_gdp_pc_tilt
29-1126,CN,329436,17047.5,FIXTURE:us_mix_gdp_pc_tilt
29-1127,CN,364155,21455.0,FIXTURE:us_mix_gdp_pc_tilt
29-1128,CN,16940,13507.5,FIXTURE:us_mix_gdp_pc_tilt
29-1129,CN,33311,16257.5,FIXTURE:us_mix_gdp_pc_tilt
29-1131,CN,190782,27480.0,FIXTURE:us_mix_gdp_pc_tilt
29-1141,CN,7525407,20687.5,FIXTURE:us_mix_gdp_pc_tilt
29-1151,CN,108528,50617.5,FIXTURE:us_mix_gdp_pc_tilt
29-1161,CN,19137,28552.5,FIXTURE:us_mix_gdp_pc_tilt
29-1171,CN,579531,29510.0,FIXTURE:us_mix_gdp_pc_tilt
29-1181,CN,32694,21512.5,FIXTURE:us_mix_gdp_pc_tilt
29-1211,CN,76871,82797.5,FIXTURE:us_mix_gdp_pc_tilt
29-1212,CN,45955,88492.5,FIXTURE:us_mix_gdp_pc_tilt
29-1213,CN,22792,75685.0,FIXTURE:us_mix_gdp_pc_tilt
29-1214,CN,89341,77660.0,FIXTURE:us_mix_gdp_pc_tilt
29-1215,CN,254170,58982.5,FIXTURE:us_mix_gdp_pc_tilt
29-1216,CN,143864,60547.5,FIXTURE:us_mix_gdp_pc_tilt
29-1217,CN,17582,66915.0,FIXTURE:us_mix_gdp_pc_tilt
29-1218,CN,53264,74052.5,FIXTURE:us_mix_gdp_pc_tilt
29-1221,CN,83019,49605.0,FIXTURE:us_mix_gdp_pc_tilt
29-1222,CN,27188,66795.0,FIXTURE:us_mix_gdp_pc_tilt
29-1223,CN,63018,62440.0,FIXTURE:us_mix_gdp_pc_tilt
29-1224,CN,72920,75430.0,FIXTURE:us_mix_gdp_pc_tilt
29-1229,CN,633807,57875.0,FIXTURE:us_mix_gdp_pc_tilt
29-1241,CN,28669,67522.5,FIXTURE:us_mix_gdp_pc_tilt
29-1242,CN,40152,76555.0,FIXTURE:us_mix_gdp_pc_tilt
29-1243,CN,2025,72577.5,FIXTURE:us_mix_gdp_pc_tilt
29-1249,CN,73068,74450.0,FIXTURE:us_mix_gdp_pc_tilt
29-1291,CN,17903,17942.5,FIXTURE:us_mix_gdp_pc_tilt
29-1292,CN,511624,20340.0,FIXTURE:us_mix_gdp_pc_tilt
29-1299,CN,64820,28307.5,FIXTURE:us_mix_gdp_pc_tilt
29-2010,CN,787178,14227.5,FIXTURE:us_mix_gdp_pc_tilt
29-2031,CN,137691,15505.0,FIXTURE:us_mix_gdp_pc_tilt
29-2032,CN,194189,20170.0,FIXTURE:us_mix_gdp_pc_tilt
29-2033,CN,42325,21212.5,FIXTURE:us_mix_gdp_pc_tilt
29-2034,CN,534317,16622.5,FIXTURE:us_mix_gdp_pc_tilt
29-2035,CN,94008,19455.0,FIXTURE:us_mix_gdp_pc_tilt
