occ_code,sector_code,emp_share,source_tag
15-1254,ALL,1.0,FIXTURE
15-1255,ALL,1.0,FIXTURE
15-1299,ALL,1.0,FIXTURE
15-2011,ALL,1.0,FIXTURE
15-2021,ALL,1.0,FIXTURE
15-2031,ALL,1.0,FIXTURE
15-2041,ALL,1.0,FIXTURE
15-2051,ALL,1.0,FIXTURE
15-2099,ALL,1.0,FIXTURE
17-1011,ALL,1.0,FIXTURE
17-1012,ALL,1.0,FIXTURE
17-1021,ALL,1.0,FIXTURE
17-1022,ALL,1.0,FIXTURE
17-2011,ALL,1.0,FIXTURE
17-2021,ALL,1.0,FIXTURE
17-2031,ALL,1.0,FIXTURE
17-2041,ALL,1.0,FIXTURE
17-2051,ALL,1.0,FIXTURE
17-2061,ALL,1.0,FIXTURE
17-2071,ALL,1.0,FIXTURE
17-2072,ALL,1.0,FIXTURE
17-2081,ALL,1.0,FIXTURE
17-2111,ALL,1.0,FIXTURE
17-2112,ALL,1.0,FIXTURE
17-2121,ALL,1.0,FIXTURE
17-2131,ALL,1.0,FIXTURE
17-2141,ALL,1.0,FIXTURE
17-2151,ALL,1.0,FIXTURE
17-2161,ALL,1.0,FIXTURE
17-2171,ALL,1.0,FIXTURE
17-2199,ALL,1.0,FIXTURE
17-3011,ALL,1.0,FIXTURE
17-3012,ALL,1.0,FIXTURE
17-3013,ALL,1.0,FIXTURE
17-3019,ALL,1.0,FIXTURE
17-3021,ALL,1.0,FIXTURE
17-3022,ALL,1.0,FIXTURE
17-3023,ALL,1.0,FIXTURE
17-3024,ALL,1.0,FIXTURE
17-3025,ALL,1.0,FIXTURE
17-3026,ALL,1.0,FIXTURE
17-3027,ALL,1.0,FIXTURE
17-3028,ALL,1.0,FIXTURE
17-3029,ALL,1.0,FIXTURE
17-3031,ALL,1.0,FIXTURE
19-1011,ALL,1.0,FIXTURE
19-1012,ALL,1.0,FIXTURE
19-1013,ALL,1.0,FIXTURE
19-1021,ALL,1.0,FIXTURE
19-1022,ALL,1.0,FIXTURE
19-1023,ALL,1.0,FIXTURE
19-1029,ALL,1.0,FIXTURE
19-1031,ALL,1.0,FIXTURE
19-1032,ALL,1.0,FIXTURE
19-1041,ALL,1.0,FIXTURE
19-1042,ALL,1.0,FIXTURE
19-1099,ALL,1.0,FIXTURE
19-2011,ALL,1.0,FIXTURE
19-2012,ALL,1.0,FIXTURE
19-2021,ALL,1.0,FIXTURE
19-2031,ALL,1.0,FIXTURE
19-2032,ALL,1.0,FIXTURE
19-2041,ALL,1.0,FIXTURE
19-2042,ALL,1.0,FIXTURE
19-2043,ALL,1.0,FIXTURE
19-2099,ALL,1.0,FIXTURE
19-3011,ALL,1.0,FIXTURE
19-3022,ALL,1.0,FIXTURE
19-3032,ALL,1.0,FIXTURE
19-3033,ALL,1.0,FIXTURE
19-3034,ALL,1.0,FIXTURE
19-3039,ALL,1.0,FIXTURE
19-3041,ALL,1.0,FIXTURE
19-3051,ALL,1.0,FIXTURE
19-3091,ALL,1.0,FIXTURE
19-3092,ALL,1.0,FIXTURE
19-3093,ALL,1.0,FIXTURE
19-3094,ALL,1.0,FIXTURE
19-3099,ALL,1.0,FIXTURE
19-4012,ALL,1.0,FIXTURE
19-4013,ALL,1.0,FIXTURE
19-4021,ALL,1.0,FIXTURE
19-4031,ALL,1.0,FIXTURE
19-4042,ALL,1.0,FIXTURE
19-4043,ALL,1.0,FIXTURE
19-4044,ALL,1.0,FIXTURE
19-4051,ALL,1.0,FIXTURE
19-4061,ALL,1.0,FIXTURE
19-4071,ALL,1.0,FIXTURE
19-4092,ALL,1.0,FIXTURE
19-4099,ALL,1.0,FIXTURE
19-5011,ALL,1.0,FIXTURE
19-5012,ALL,1.0,FIXTURE
21-1012,ALL,1.0,FIXTURE
21-1013,ALL,1.0,FIXTURE
21-1015,ALL,1.0,FIXTURE
21-1018,ALL,1.0,FIXTURE
21-1019,ALL,1.0,FIXTURE
21-1021,ALL,1.0,FIXTURE
21-1022,ALL,1.0,FIXTURE
21-1023,ALL,1.0,FIXTURE
21-1029,ALL,1.0,FIXTURE
21-1091,ALL,1.0,FIXTURE
21-1092,ALL,1.0,FIXTURE
21-1093,ALL,1.0,FIXTURE
21-1094,ALL,1.0,FIXTURE
21-1099,ALL,1.0,FIXTURE
21-2011,ALL,1.0,FIXTURE
21-2021,ALL,1.0,FIXTURE
21-2099,ALL,1.0,FIXTURE
23-1011,ALL,1.0,FIXTURE
23-1012,ALL,1.0,FIXTURE
23-1021,ALL,1.0,FIXTURE
23-1022,ALL,1.0,FIXTURE
23-1023,ALL,1.0,FIXTURE
23-2011,ALL,1.0,FIXTURE
23-2093,ALL,1.0,FIXTURE
23-2099,ALL,1.0,FIXTURE
25-1011,ALL,1.0,FIXTURE
25-1021,ALL,1.0,FIXTURE
25-1022,ALL,1.0,FIXTURE
25-1031,ALL,1.0,FIXTURE
25-1032,ALL,1.0,FIXTURE
25-1041,ALL,1.0,FIXTURE
25-1042,ALL,1.0,FIXTURE
25-1043,ALL,1.0,FIXTURE
25-1051,ALL,1.0,FIXTURE
25-1052,ALL,1.0,FIXTURE
25-1053,ALL,1.0,FIXTURE
25-1054,ALL,1.0,FIXTURE
25-1061,ALL,1.0,FIXTURE
25-1062,ALL,1.0,FIXTURE
25-1063,ALL,1.0,FIXTURE
25-1064,ALL,1.0,FIXTURE
25-1065,ALL,1.0,FIXTURE
25-1066,ALL,1.0,FIXTURE
25-1067,ALL,1.0,FIXTURE
25-1069,ALL,1.0,FIXTURE
25-1071,ALL,1.0,FIXTURE
25-1072,ALL,1.0,FIXTURE
25-1081,ALL,1.0,FIXTURE
25-1082,ALL,1.0,FIXTURE
25-1111,ALL,1.0,FIXTURE
25-1112,ALL,1.0,FIXTURE
25-1113,ALL,1.0,FIXTURE
25-1121,ALL,1.0,FIXTURE
25-1122,ALL,1.0,FIXTURE
25-1123,ALL,1.0,FIXTURE
25-1124,ALL,1.0,FIXTURE
25-1125,ALL,1.0,FIXTURE
25-1126,ALL,1.0,FIXTURE
25-1192,ALL,1.0,FIXTURE
25-1193,ALL,1.0,FIXTURE
25-1194,ALL,1.0,FIXTURE
25-1199,ALL,1.0,FIXTURE
25-2011,ALL,1.0,FIXTURE
25-2012,ALL,1.0,FIXTURE
25-2021,ALL,1.0,FIXTURE
25-2022,ALL,1.0,FIXTURE
25-2023,ALL,1.0,FIXTURE
25-2031,ALL,1.0,FIXTURE
25-2032,ALL,1.0,FIXTURE
25-2051,ALL,1.0,FIXTURE
25-2052,ALL,1.0,FIXTURE
25-2057,ALL,1.0,FIXTURE
25-2058,ALL,1.0,FIXTURE
25-2059,ALL,1.0,FIXTURE
25-3011,ALL,1.0,FIXTURE
25-3021,ALL,1.0,FIXTURE
25-3031,ALL,1.0,FIXTURE
25-3041,ALL,1.0,FIXTURE
25-3099,ALL,1.0,FIXTURE
25-4011,ALL,1.0,FIXTURE
25-4012,ALL,1.0,FIXTURE
25-4013,ALL,1.0,FIXTURE
25-4022,ALL,1.0,FIXTURE
25-4031,ALL,1.0,FIXTURE
25-9021,ALL,1.0,FIXTURE
25-9031,ALL,1.0,FIXTURE
25-9044,ALL,1.0,FIXTURE
25-9045,ALL,1.0,FIXTURE
25-9099,ALL,1.0,FIXTURE
27-1011,ALL,1.0,FIXTURE
27-1012,ALL,1.0,FIXTURE
27-1013,ALL,1.0,FIXTURE
27-1014,ALL,1.0,FIXTURE
27-1019,ALL,1.0,FIXTURE
27-1021,ALL,1.0,FIXTURE
27-1022,ALL,1.0,FIXTURE
27-1023,ALL,1.0,FIXTURE
27-1024,ALL,1.0,FIXTURE
27-1025,ALL,1.0,FIXTURE
27-1026,ALL,1.0,FIXTURE
27-1027,ALL,1.0,FIXTURE
27-1029,ALL,1.0,FIXTURE
27-2011,ALL,1.0,FIXTURE
27-2012,ALL,1.0,FIXTURE
27-2021,ALL,1.0,FIXTURE
27-2022,ALL,1.0,FIXTURE
27-2023,ALL,1.0,FIXTURE
27-2031,ALL,1.0,FIXTURE
27-2032,ALL,1.0,FIXTURE
27-2041,ALL,1.0,FIXTURE
27-2042,ALL,1.0,FIXTURE
27-2091,ALL,1.0,FIXTURE
27-2099,ALL,1.0,FIXTURE
27-3011,ALL,1.0,FIXTURE
27-3023,ALL,1.0,FIXTURE
27-3031,ALL,1.0,FIXTURE
27-3041,ALL,1.0,FIXTURE
27-3042,ALL,1.0,FIXTURE
27-3043,ALL,1.0,FIXTURE
27-3091,ALL,1.0,FIXTURE
27-3092,ALL,1.0,FIXTURE
27-3099,ALL,1.0,FIXTURE
27-4011,ALL,1.0,FIXTURE
27-4012,ALL,1.0,FIXTURE
27-4014,ALL,1.0,FIXTURE
27-4015,ALL,1.0,FIXTURE
27-4021,ALL,1.0,FIXTURE
27-4031,ALL,1.0,FIXTURE
27-4032,ALL,1.0,FIXTURE
27-4099,ALL,1.0,FIXTURE
29-1011,ALL,1.0,FIXTURE
29-1021,ALL,1.0,FIXTURE
29-1022,ALL,1.0,FIXTURE
29-1023,ALL,1.0,FIXTURE
29-1024,ALL,1.0,FIXTURE
29-1029,ALL,1.0,FIXTURE
29-1031,ALL,1.0,FIXTURE
29-1041,ALL,1.0,FIXTURE
29-1051,ALL,1.0,FIXTURE
29-1071,ALL,1.0,FIXTURE
29-1081,ALL,1.0,FIXTURE
29-1122,ALL,1.0,FIXTURE
29-1123,ALL,1.0,FIXTURE
29-1124,ALL,1.0,FIXTURE
29-1125,ALL,1.0,FIXTURE
29-1126,ALL,1.0,FIXTURE
29-1127,ALL,1.0,FIXTURE
29-1128,ALL,1.0,FIXTURE
29-1129,ALL,1.0,FIXTURE
29-1131,ALL,1.0,FIXTURE
29-1141,ALL,1.0,FIXTURE
29-1151,ALL,1.0,FIXTURE
29-1161,ALL,1.0,FIXTURE
29-1171,ALL,1.0,FIXTURE
29-1181,ALL,1.0,FIXTURE
29-1211,ALL,1.0,FIXTURE
29-1212,ALL,1.0,FIXTURE
29-1213,ALL,1.0,FIXTURE
29-1214,ALL,1.0,FIXTURE
29-1215,ALL,1.0,FIXTURE
29-1216,ALL,1.0,FIXTURE
29-1217,ALL,1.0,FIXTURE
29-1218,ALL,1.0,FIXTURE
29-1221,ALL,1.0,FIXTURE
29-1222,ALL,1.0,FIXTURE
29-1223,ALL,1.0,FIXTURE
29-1224,ALL,1.0,FIXTURE
29-1229,ALL,1.0,FIXTURE
29-1241,ALL,1.0,FIXTURE
29-1242,ALL,1.0,FIXTURE
29-1243,ALL,1.0,FIXTURE
29-1249,ALL,1.0,FIXTURE
29-1291,ALL,1.0,FIXTURE
29-1292,ALL,1.0,FIXTURE
29-1299,ALL,1.0,FIXTURE
29-2010,ALL,1.0,FIXTURE
29-2031,ALL,1.0,FIXTURE
29-2032,ALL,1.0,FIXTURE
29-2033,ALL,1.0,FIXTURE
29-2034,ALL,1.0,FIXTURE
29-2035,ALL,1.0,FIXTURE
29-2036,ALL,1.0,FIXTURE
29-2042,ALL,1.0,FIXTURE
29-2043,ALL,1.0,FIXTURE
29-2051,ALL,1.0,FIXTURE
29-2052,ALL,1.0,FIXTURE
29-2053,ALL,1.0,FIXTURE
29-2055,ALL,1.0,FIXTURE
29-2056,ALL,1.0,FIXTURE
29-2057,ALL,1.0,FIXTURE
29-2061,ALL,1.0,FIXTURE
29-2072,ALL,1.0,FIXTURE
29-2081,ALL,1.0,FIXTURE
29-2091,ALL,1.0,FIXTURE
29-2092,ALL,1.0,FIXTURE
29-2099,ALL,1.0,FIXTURE
29-9021,ALL,1.0,FIXTURE
29-9091,ALL,1.0,FIXTURE
29-9092,ALL,1.0,FIXTURE
29-9093,ALL,1.0,FIXTURE
29-9099,ALL,1.0,FIXTURE
31-1120,ALL,1.0,FIXTURE
31-1131,ALL,1.0,FIXTURE
31-1132,ALL,1.0,FIXTURE
31-1133,ALL,1.0,FIXTURE
31-2011,ALL,1.0,FIXTURE
31-2012,ALL,1.0,FIXTURE
31-2021,ALL,1.0,FIXTURE
31-2022,ALL,1.0,FIXTURE
31-9011,ALL,1.0,FIXTURE
31-9091,ALL,1.0,FIXTURE
31-9092,ALL,1.0,FIXTURE
31-9093,ALL,1.0,FIXTURE
31-9094,ALL,1.0,FIXTURE
31-9095,ALL,1.0,FIXTURE
31-9096,ALL,1.0,FIXTURE
31-9097,ALL,1.0,FIXTURE
31-9099,ALL,1.0,FIXTURE
33-1011,ALL,1.0,FIXTURE
33-1012,ALL,1.0,FIXTURE
33-1021,ALL,1.0,FIXTURE
33-1091,ALL,1.0,FIXTURE
33-1099,ALL,1.0,FIXTURE
33-2011,ALL,1.0,FIXTURE
33-2021,ALL,1.0,FIXTURE
33-2022,ALL,1.0,FIXTURE
33-3011,ALL,1.0,FIXTURE
33-3012,ALL,1.0,FIXTURE
33-3021,ALL,1.0,FIXTURE
33-3031,ALL,1.0,FIXTURE
33-3041,ALL,1.0,FIXTURE
33-3051,ALL,1.0,FIXTURE
33-3052,ALL,1.0,FIXTURE
33-9011,ALL,1.0,FIXTURE
33-9021,ALL,1.0,FIXTURE
33-9031,ALL,1.0,FIXTURE
33-9032,ALL,1.0,FIXTURE
33-9091,ALL,1.0,FIXTURE
33-9092,ALL,1.0,FIXTURE
33-9093,ALL,1.0,FIXTURE
33-9094,ALL,1.0,FIXTURE
33-9099,ALL,1.0,FIXTURE
35-1011,ALL,1.0,FIXTURE
35-1012,ALL,1.0,FIXTURE
35-2011,ALL,1.0,FIXTURE
35-2012,ALL,1.0,FIXTURE
35-2013,ALL,1.0,FIXTURE
35-2014,ALL,1.0,FIXTURE
35-2015,ALL,1.0,FIXTURE
35-2019,ALL,1.0,FIXTURE
35-2021,ALL,1.0,FIXTURE
35-3011,ALL,1.0,FIXTURE
35-3023,ALL,1.0,FIXTURE
35-3031,ALL,1.0,FIXTURE
35-3041,ALL,1.0,FIXTURE
35-9011,ALL,1.0,FIXTURE
35-9021,ALL,1.0,FIXTURE
35-9031,ALL,1.0,FIXTURE
35-9099,ALL,1.0,FIXTURE
37-1011,ALL,1.0,FIXTURE
37-1012,ALL,1.0,FIXTURE
37-2011,ALL,1.0,FIXTURE
37-2012,ALL,1.0,FIXTURE
37-2019,ALL,1.0,FIXTURE
37-2021,ALL,1.0,FIXTURE
37-3011,ALL,1.0,FIXTURE
37-3012,ALL,1.0,FIXTURE
37-3013,ALL,1.0,FIXTURE
37-3019,ALL,1.0,FIXTURE
39-1013,ALL,1.0,FIXTURE
39-1014,ALL,1.0,FIXTURE
39-1022,ALL,1.0,FIXTURE
39-2011,ALL,1.0,FIXTURE
39-2021,ALL,1.0,FIXTURE
39-3011,ALL,1.0,FIXTURE
39-3012,ALL,1.0,FIXTURE
39-3019,ALL,1.0,FIXTURE
39-3021,ALL,1.0,FIXTURE
39-3031,ALL,1.0,FIXTURE
39-3091,ALL,1.0,FIXTURE
39-3092,ALL,1.0,FIXTURE
39-3093,ALL,1.0,FIXTURE
39-3099,ALL,1.0,FIXTURE
39-4011,ALL,1.0,FIXTURE
39-4012,ALL,1.0,FIXTURE
39-4021,ALL,1.0,FIXTURE
39-4031,ALL,1.0,FIXTURE
39-5011,ALL,1.0,FIXTURE
39-5012,ALL,1.0,FIXTURE
39-5091,ALL,1.0,FIXTURE
39-5092,ALL,1.0,FIXTURE
39-5093,ALL,1.0,FIXTURE
39-5094,ALL,1.0,FIXTURE
39-6011,ALL,1.0,FIXTURE
39-6012,ALL,1.0,FIXTURE
39-7010,ALL,1.0,FIXTURE
39-9011,ALL,1.0,FIXTURE
39-9031,ALL,1.0,FIXTURE
39-9032,ALL,1.0,FIXTURE
39-9041,ALL,1.0,FIXTURE
39-9099,ALL,1.0,FIXTURE
41-1011,ALL,1.0,FIXTURE
41-1012,ALL,1.0,FIXTURE
41-2011,ALL,1.0,FIXTURE
41-2012,ALL,1.0,FIXTURE
41-2021,ALL,1.0,FIXTURE
41-2022,ALL,1.0,FIXTURE
41-2031,ALL,1.0,FIXTURE
41-3011,ALL,1.0,FIXTURE
41-3021,ALL,1.0,FIXTURE
41-3031,ALL,1.0,FIXTURE
41-3041,ALL,1.0,FIXTURE
41-3091,ALL,1.0,FIXTURE
41-4011,ALL,1.0,FIXTURE
41-4012,ALL,1.0,FIXTURE
41-9011,ALL,1.0,FIXTURE
41-9012,ALL,1.0,FIXTURE
41-9021,ALL,1.0,FIXTURE
41-9022,ALL,1.0,FIXTURE
41-9031,ALL,1.0,FIXTURE
41-9041,ALL,1.0,FIXTURE
41-9091,ALL,1.0,FIXTURE
41-9099,ALL,1.0,FIXTURE
43-1011,ALL,1.0,FIXTURE
43-2011,ALL,1.0,FIXTURE
43-2021,ALL,1.0,FIXTURE
43-2099,ALL,1.0,FIXTURE
43-3011,ALL,1.0,FIXTURE
43-3021,ALL,1.0,FIXTURE
43-3031,ALL,1.0,FIXTURE
43-3041,ALL,1.0,FIXTURE
43-3051,ALL,1.0,FIXTURE
43-3061,ALL,1.0,FIXTURE
43-3071,ALL,1.0,FIXTURE
43-3099,ALL,1.0,FIXTURE
43-4011,ALL,1.0,FIXTURE
43-4021,ALL,1.0,FIXTURE
43-4031,ALL,1.0,FIXTURE
43-4041,ALL,1.0,FIXTURE
43-4051,ALL,1.0,FIXTURE
43-4061,ALL,1.0,FIXTURE
43-4071,ALL,1.0,FIXTURE
43-4081,ALL,1.0,FIXTURE
43-4111,ALL,1.0,FIXTURE
43-4121,ALL,1.0,FIXTURE
43-4131,ALL,1.0,FIXTURE
43-4141,ALL,1.0,FIXTURE
43-4151,ALL,1.0,FIXTURE
43-4161,ALL,1.0,FIXTURE
43-4171,ALL,1.0,FIXTURE
43-4181,ALL,1.0,FIXTURE
43-4199,ALL,1.0,FIXTURE
43-5011,ALL,1.0,FIXTURE
43-5021,ALL,1.0,FIXTURE
43-5031,ALL,1.0,FIXTURE
43-5032,ALL,1.0,FIXTURE
43-5041,ALL,1.0,FIXTURE
43-5051,ALL,1.0,FIXTURE
43-5052,ALL,1.0,FIXTURE
43-5053,ALL,1.0,FIXTURE
43-5061,ALL,1.0,FIXTURE
43-5071,ALL,1.0,FIXTURE
43-5111,ALL,1.0,FIXTURE
43-6011,ALL,1.0,FIXTURE
43-6012,ALL,1.0,FIXTURE
43-6013,ALL,1.0,FIXTURE
43-6014,ALL,1.0,FIXTURE
43-9021,ALL,1.0,FIXTURE
43-9022,ALL,1.0,FIXTURE
43-9031,ALL,1.0,FIXTURE
43-9041,ALL,1.0,FIXTURE
43-9051,ALL,1.0,FIXTURE
43-9061,ALL,1.0,FIXTURE
43-9071,ALL,1.0,FIXTURE
43-9081,ALL,1.0,FIXTURE
43-9111,ALL,1.0,FIXTURE
43-9199,ALL,1.0,FIXTURE
45-1011,ALL,1.0,FIXTURE
45-2011,ALL,1.0,FIXTURE
45-2021,ALL,1.0,FIXTURE
45-2041,ALL,1.0,FIXTURE
45-2091,ALL,1.0,FIXTURE
45-2092,ALL,1.0,FIXTURE
45-2093,ALL,1.0,FIXTURE
45-2099,ALL,1.0,FIXTURE
45-4011,ALL,1.0,FIXTURE
45-4021,ALL,1.0,FIXTURE
45-4022,ALL,1.0,FIXTURE
45-4023,ALL,1.0,FIXTURE
45-4029,ALL,1.0,FIXTURE
47-1011,ALL,1.0,FIXTURE
47-2011,ALL,1.0,FIXTURE
47-2021,ALL,1.0,FIXTURE
47-2022,ALL,1.0,FIXTURE
47-2031,ALL,1.0,FIXTURE
47-2041,ALL,1.0,FIXTURE
47-2042,ALL,1.0,FIXTURE
47-2043,ALL,1.0,FIXTURE
47-2044,ALL,1.0,FIXTURE
47-2051,ALL,1.0,FIXTURE
47-2053,ALL,1.0,FIXTURE
47-2061,ALL,1.0,FIXTURE
47-2071,ALL,1.0,FIXTURE
47-2072,ALL,1.0,FIXTURE
47-2073,ALL,1.0,FIXTURE
47-2081,ALL,1.0,FIXTURE
47-2082,ALL,1.0,FIXTURE
47-2111,ALL,1.0,FIXTURE
47-2121,ALL,1.0,FIXTURE
47-2131,ALL,1.0,FIXTURE
47-2132,ALL,1.0,FIXTURE
47-2141,ALL,1.0,FIXTURE
47-2142,ALL,1.0,FIXTURE
47-2151,ALL,1.0,FIXTURE
47-2152,ALL,1.0,FIXTURE
47-2161,ALL,1.0,FIXTURE
47-2171,ALL,1.0,FIXTURE
47-2181,ALL,1.0,FIXTURE
47-2211,ALL,1.0,FIXTURE
47-2221,ALL,1.0,FIXTURE
47-2231,ALL,1.0,FIXTURE
47-3011,ALL,1.0,FIXTURE
47-3012,ALL,1.0,FIXTURE
47-3013,ALL,1.0,FIXTURE
47-3014,ALL,1.0,FIXTURE
47-3015,ALL,1.0,FIXTURE
47-3016,ALL,1.0,FIXTURE
47-3019,ALL,1.0,FIXTURE
47-4011,ALL,1.0,FIXTURE
47-4021,ALL,1.0,FIXTURE
47-4031,ALL,1.0,FIXTURE
47-4041,ALL,1.0,FIXTURE
47-4051,ALL,1.0,FIXTURE
47-4061,ALL,1.0,FIXTURE
47-4071,ALL,1.0,FIXTURE
47-4090,ALL,1.0,FIXTURE
47-5011,ALL,1.0,FIXTURE
47-5012,ALL,1.0,FIXTURE
47-5013,ALL,1.0,FIXTURE
47-5022,ALL,1.0,FIXTURE
47-5023,ALL,1.0,FIXTURE
47-5032,ALL,1.0,FIXTURE
47-5041,ALL,1.0,FIXTURE
47-5043,ALL,1.0,FIXTURE
47-5044,ALL,1.0,FIXTURE
47-5049,ALL,1.0,FIXTURE
47-5051,ALL,1.0,FIXTURE
47-5071,ALL,1.0,FIXTURE
47-5081,ALL,1.0,FIXTURE
47-5099,ALL,1.0,FIXTURE
49-1011,ALL,1.0,FIXTURE
49-2011,ALL,1.0,FIXTURE
49-2021,ALL,1.0,FIXTURE
49-2022,ALL,1.0,FIXTURE
49-2091,ALL,1.0,FIXTURE
49-2092,ALL,1.0,FIXTURE
49-2093,ALL,1.0,FIXTURE
49-2094,ALL,1.0,FIXTURE
49-2095,ALL,1.0,FIXTURE
49-2096,ALL,1.0,FIXTURE
49-2097,ALL,1.0,FIXTURE
49-2098,ALL,1.0,FIXTURE
49-3011,ALL,1.0,FIXTURE
49-3021,ALL,1.0,FIXTURE
49-3022,ALL,1.0,FIXTURE
49-3023,ALL,1.0,FIXTURE
49-3031,ALL,1.0,FIXTURE
49-3041,ALL,1.0,FIXTURE
49-3042,ALL,1.0,FIXTURE
49-3043,ALL,1.0,FIXTURE
49-3051,ALL,1.0,FIXTURE
49-3052,ALL,1.0,FIXTURE
49-3053,ALL,1.0,FIXTURE
49-3091,ALL,1.0,FIXTURE
49-3092,ALL,1.0,FIXTURE
49-3093,ALL,1.0,FIXTURE
49-9011,ALL,1.0,FIXTURE
49-9012,ALL,1.0,FIXTURE
49-9021,ALL,1.0,FIXTURE
49-9031,ALL,1.0,FIXTURE
49-9041,ALL,1.0,FIXTURE
49-9043,ALL,1.0,FIXTURE
49-9044,ALL,1.0,FIXTURE
49-9045,ALL,1.0,FIXTURE
49-9051,ALL,1.0,FIXTURE
49-9052,ALL,1.0,FIXTURE
49-9061,ALL,1.0,FIXTURE
49-9062,ALL,1.0,FIXTURE
49-9063,ALL,1.0,FIXTURE
49-9064,ALL,1.0,FIXTURE
49-9069,ALL,1.0,FIXTURE
49-9071,ALL,1.0,FIXTURE
49-9081,ALL,1.0,FIXTURE
49-9091,ALL,1.0,FIXTURE
49-9092,ALL,1.0,FIXTURE
49-9094,ALL,1.0,FIXTURE
49-9095,ALL,1.0,FIXTURE
49-9096,ALL,1.0,FIXTURE
49-9097,ALL,1.0,FIXTURE
49-9098,ALL,1.0,FIXTURE
49-9099,ALL,1.0,FIXTURE
51-1011,ALL,1.0,FIXTURE
51-2011,ALL,1.0,FIXTURE
51-2021,ALL,1.0,FIXTURE
51-2028,ALL,1.0,FIXTURE
51-2031,ALL,1.0,FIXTURE
51-2041,ALL,1.0,FIXTURE
51-2051,ALL,1.0,FIXTURE
51-2061,ALL,1.0,FIXTURE
51-2090,ALL,1.0,FIXTURE
51-3011,ALL,1.0,FIXTURE
51-3021,ALL,1.0,FIXTURE
51-3022,ALL,1.0,FIXTURE
51-3023,ALL,1.0,FIXTURE
51-3091,ALL,1.0,FIXTURE
51-3092,ALL,1.0,FIXTURE
51-3093,ALL,1.0,FIXTURE
51-3099,ALL,1.0,FIXTURE
51-4021,ALL,1.0,FIXTURE
51-4022,ALL,1.0,FIXTURE
51-4023,ALL,1.0,FIXTURE
51-4031,ALL,1.0,FIXTURE
51-4032,ALL,1.0,FIXTURE
